department,cgpa,aptitudeScore,communicationScore,internshipExperience,certifications,skillsCount,placed,package
MECH,9.03,74,43,1,0,9,1,12.08
IT,8.49,62,99,3,2,3,1,13.21
IT,8.1,71,79,1,1,3,1,9.39
MECH,8.58,76,83,0,1,6,1,8.47
CSE,8.27,56,53,0,1,4,0,7.03
IT,8.04,73,89,2,2,3,1,10.7
CIVIL,6.45,79,63,0,0,6,0,5.72
CIVIL,8.83,66,55,0,0,4,0,8.69
ECE,7.39,84,69,2,2,4,1,12.02
CIVIL,8.78,66,69,1,2,4,1,10.04
ECE,8.87,61,53,3,0,1,1,12.4
CSE,7.2,78,56,2,1,1,0,9.83
MECH,8.65,96,55,2,1,6,1,12.81
MECH,7.48,73,55,0,1,3,1,7.33
MECH,7.48,79,64,0,0,4,1,6.13
CIVIL,8.03,65,49,1,1,7,1,11.46
CSE,8.06,57,59,1,0,4,1,8.96
CIVIL,7.83,73,85,0,2,4,1,8.71
CIVIL,6.6,75,82,0,2,6,1,6.91
CSE,7.69,67,54,0,1,3,0,7.08
CSE,9.85,79,84,1,0,6,1,10.44
CSE,5.29,64,40,0,0,6,0,3.78
CSE,8.58,61,100,0,1,8,1,9.43
MECH,8.75,84,89,1,1,3,1,10.18
EEE,6.58,84,61,1,0,7,1,10.24
EEE,7.38,64,75,0,1,5,1,6.95
CSE,6.9,92,48,1,0,1,1,5.58
EEE,9.47,68,70,1,0,1,1,11.12
EEE,8.79,73,67,0,0,2,1,8.31
CSE,8.84,70,57,0,0,5,1,7.48
EEE,7.91,78,62,0,0,5,1,7.66
CIVIL,8.98,75,61,0,1,4,1,9.55
ECE,7.79,75,53,2,2,4,1,11.78
ECE,9.02,59,57,0,2,4,1,9.79
CSE,7.67,51,48,1,0,6,1,8.59
MECH,7.19,85,82,0,0,1,1,5.63
CSE,9.43,65,56,0,0,5,1,8.72
MECH,7.78,71,51,1,0,2,1,5.92
ECE,6.99,75,82,0,1,2,1,6.05
CSE,6.98,91,75,0,1,6,1,5.74
IT,6.98,73,82,0,0,2,1,6.09
CIVIL,8.56,67,83,0,0,4,1,6.87
EEE,7.71,65,99,1,0,8,1,7.79
MECH,9.87,71,67,0,0,6,1,8.53
IT,8.87,61,48,2,1,3,1,12.01
EEE,8.03,72,74,1,0,3,1,8.79
EEE,9.06,71,59,0,1,2,1,7.25
CSE,7.35,91,55,0,1,7,1,6.97
EEE,6.13,70,71,0,2,6,0,6.65
CIVIL,6.91,48,82,1,2,5,0,9.87
IT,7.93,100,57,0,1,6,1,7.25
EEE,7.6,83,89,1,0,2,0,8.12
CSE,8.54,96,55,0,1,1,1,6.06
CIVIL,7.69,58,66,1,2,5,1,10.28
ECE,8.47,69,75,0,0,6,1,8.87
IT,9.15,80,64,2,1,7,1,14.0
EEE,7.69,78,43,0,2,4,0,8.72
CSE,8.3,75,83,0,1,3,1,8.5
ECE,6.22,45,60,0,0,4,0,6.44
ECE,7.69,51,81,0,0,5,1,7.11
MECH,6.69,90,51,3,1,3,1,12.71
CIVIL,7.93,92,53,0,0,4,1,6.26
EEE,8.01,70,82,0,1,6,1,8.15
CSE,8.01,88,75,1,1,3,1,9.12
MECH,7.37,59,63,0,0,7,0,6.41
CIVIL,9.87,62,75,1,2,5,1,10.75
MECH,6.66,58,55,1,1,1,0,7.69
IT,6.6,61,71,0,0,3,0,4.38
CIVIL,9.29,80,71,2,2,1,1,12.23
CIVIL,7.17,61,64,0,2,4,1,8.57
EEE,6.95,98,57,0,1,3,1,6.6
CIVIL,9.87,77,71,1,2,6,1,14.34
MECH,8.69,85,69,1,1,2,1,9.82
CIVIL,7.26,77,63,0,2,5,1,8.16
EEE,8.0,86,54,1,1,5,1,9.6
EEE,9.55,61,70,0,1,5,1,9.18
IT,8.42,89,63,0,4,6,1,11.05
MECH,8.96,73,54,2,1,8,1,13.3
ECE,8.52,86,70,0,0,4,1,8.24
ECE,8.64,54,94,0,1,5,1,8.31
CIVIL,7.84,74,64,1,1,2,1,8.56
IT,7.81,73,92,2,0,2,1,9.8
CSE,8.04,64,100,0,3,6,1,10.41
CIVIL,8.46,75,55,1,0,6,1,9.71
IT,7.55,90,70,1,0,2,0,8.7
MECH,7.91,63,100,2,3,1,1,10.77
MECH,7.52,83,68,2,1,3,1,10.64
MECH,7.9,58,70,0,0,4,0,6.43
MECH,6.67,97,44,0,1,3,0,6.7
MECH,10.0,81,62,0,1,4,1,9.45
IT,7.14,92,78,1,0,6,1,7.9
IT,7.47,80,100,1,3,5,1,9.36
EEE,7.06,76,67,1,1,5,1,8.76
ECE,8.35,81,45,3,1,1,1,13.1
MECH,7.62,70,48,0,1,1,1,6.73
CSE,6.93,52,69,0,1,2,0,5.7
IT,8.39,77,87,0,0,3,1,6.74
CSE,8.51,62,79,0,0,6,1,8.09
CSE,7.74,58,76,0,1,2,0,6.6
CSE,7.2,79,89,0,2,5,1,7.85
EEE,9.77,68,59,1,0,2,1,10.57
IT,8.11,84,70,2,1,2,1,12.22
CSE,6.65,62,62,1,2,2,0,7.92
MECH,9.07,66,65,1,0,9,1,11.98
CIVIL,7.03,85,54,0,0,2,0,5.39
CSE,10.0,75,64,1,0,5,1,11.34
EEE,7.87,54,69,1,1,1,0,8.73
IT,8.71,75,64,1,0,7,1,10.32
EEE,5.93,89,67,0,1,5,0,5.47
CSE,6.64,66,76,0,1,5,1,7.3
IT,9.0,79,88,0,1,5,1,8.81
CIVIL,8.09,61,89,1,0,5,1,9.61
CSE,9.64,70,81,1,1,6,1,10.08
EEE,8.24,85,51,2,2,3,1,11.74
ECE,7.93,74,64,0,3,3,1,8.12
MECH,9.34,87,65,1,2,4,1,11.81
EEE,8.71,77,60,2,1,5,1,12.26
IT,7.62,98,75,0,1,4,1,7.36
CSE,6.82,53,46,0,0,6,0,5.98
MECH,5.67,69,95,2,0,5,0,8.51
CSE,7.41,58,87,0,0,4,1,5.02
IT,6.73,59,77,2,1,1,1,8.97
CSE,10.0,59,69,3,0,3,1,13.85
ECE,7.21,74,88,1,0,7,1,9.79
MECH,7.19,74,80,1,4,5,1,9.87
MECH,6.43,77,86,1,0,3,1,7.51
IT,7.56,58,69,1,0,5,1,8.66
ECE,7.2,68,96,0,0,5,0,4.98
EEE,9.36,60,87,0,1,3,0,8.34
CSE,7.95,83,77,0,1,6,1,8.92
CIVIL,7.79,61,88,1,0,5,0,9.58
CSE,7.68,69,63,0,1,2,0,5.68
CSE,8.51,78,52,0,2,6,1,10.76
EEE,7.39,64,74,0,2,3,1,7.25
CSE,8.4,80,69,1,3,4,1,11.89
ECE,9.25,91,67,3,2,2,1,13.63
ECE,8.21,74,88,3,1,5,1,13.29
MECH,7.58,82,72,0,0,4,1,6.92
IT,6.94,47,73,2,0,5,1,9.48
CIVIL,7.55,66,65,1,0,3,0,5.73
CSE,8.31,74,83,1,1,3,1,9.42
CSE,6.42,59,80,1,2,3,0,6.33
EEE,8.55,74,83,0,1,5,1,7.8
IT,7.99,84,62,2,0,3,1,9.26
ECE,7.67,49,89,0,1,4,1,8.2
CIVIL,7.21,57,97,0,3,3,1,8.8
MECH,7.37,74,82,1,1,5,1,9.32
ECE,8.34,77,57,0,2,1,0,7.62
IT,7.68,80,57,0,2,4,0,7.94
MECH,7.35,73,64,1,3,7,1,11.72
EEE,8.22,77,61,0,2,6,1,7.58
EEE,8.26,82,68,1,1,3,1,8.65
CSE,6.68,67,79,1,0,5,0,8.41
IT,8.31,64,74,1,0,5,1,10.55
CIVIL,10.0,69,73,1,1,7,1,13.27
MECH,8.22,74,66,1,0,1,1,7.43
ECE,6.27,64,68,1,3,6,0,10.02
IT,7.96,67,81,1,0,3,1,9.64
IT,6.15,76,40,1,2,3,0,8.16
EEE,10.0,73,69,1,0,2,1,8.7
CSE,9.81,69,74,2,0,1,1,12.07
CSE,7.2,51,81,0,3,3,1,8.11
MECH,5.78,71,54,0,0,2,0,3.42
EEE,7.01,60,54,2,0,4,1,9.66
IT,7.64,83,78,0,0,5,1,6.55
CIVIL,6.21,68,41,0,1,3,0,4.57
EEE,7.74,60,89,1,0,7,1,10.69
MECH,7.63,71,73,0,1,3,1,7.13
MECH,7.91,87,93,0,1,3,1,6.41
EEE,8.01,79,53,3,1,3,1,11.71
MECH,6.93,74,63,1,1,5,1,7.83
EEE,7.03,56,40,0,1,5,0,6.15
ECE,7.84,91,58,3,0,5,1,12.73
EEE,7.23,64,67,2,2,4,1,11.37
EEE,8.62,83,40,0,0,1,0,7.33
MECH,7.83,68,64,0,1,3,1,6.6
MECH,9.48,82,40,1,1,7,1,12.91
CSE,8.54,87,66,1,2,6,1,12.33
CSE,8.79,79,87,1,1,5,1,10.54
ECE,7.92,81,69,2,0,3,1,9.48
CSE,7.94,70,94,1,1,4,1,9.51
EEE,9.36,66,81,0,1,3,1,10.76
MECH,7.46,73,90,1,0,6,1,8.0
CSE,8.29,67,58,0,1,2,1,7.03
CSE,7.56,100,58,1,1,6,1,9.62
ECE,7.56,60,75,1,4,3,1,10.9
IT,6.75,84,46,0,1,7,1,5.51
ECE,7.13,78,77,1,0,5,1,9.2
EEE,6.96,74,65,0,0,3,0,6.59
MECH,8.33,89,89,0,2,3,1,8.06
ECE,8.74,75,80,1,2,5,1,13.45
CSE,7.71,64,86,0,0,3,1,7.44
MECH,8.01,75,58,1,0,4,1,9.85
MECH,7.66,69,85,0,1,3,0,7.95
CSE,7.07,78,91,1,0,8,1,9.91
ECE,8.58,81,69,1,0,8,1,10.77
CSE,8.39,61,58,1,0,7,1,10.17
IT,6.1,86,59,0,0,4,0,4.06
MECH,7.55,68,88,2,1,3,1,9.99
CIVIL,7.01,77,100,0,1,2,1,5.66
CIVIL,7.45,79,55,0,0,7,1,7.39
EEE,7.2,76,54,0,0,6,1,8.01
CSE,7.76,70,83,0,0,6,1,5.73
CSE,7.5,66,58,2,1,4,1,11.78
EEE,7.48,68,85,0,0,1,0,4.77
EEE,8.8,90,76,1,1,1,1,9.47
EEE,8.3,61,69,1,1,4,1,9.28
MECH,7.17,63,76,0,0,3,0,7.28
IT,7.3,62,75,1,0,3,1,7.36
CSE,8.24,73,67,0,0,5,1,8.11
MECH,8.24,53,43,0,1,6,0,9.05
EEE,7.26,55,72,0,2,3,0,6.18
CSE,7.59,68,93,2,0,1,1,9.23
MECH,9.46,56,45,3,3,3,1,16.72
IT,7.27,57,55,0,0,2,0,4.93
MECH,9.52,56,76,0,2,5,1,11.09
IT,8.79,61,70,1,1,4,1,10.19
EEE,9.35,80,76,0,1,8,1,11.45
IT,7.23,83,59,2,1,5,1,12.08
CSE,7.65,95,87,1,1,8,1,8.67
EEE,7.4,94,70,0,2,1,1,5.6
CSE,8.81,81,80,1,2,1,1,9.83
CIVIL,7.29,84,74,0,1,4,1,8.02
ECE,8.46,73,72,2,0,4,1,11.68
IT,8.41,78,79,2,0,4,1,10.2
ECE,7.76,95,72,0,2,4,1,8.55
ECE,8.97,76,52,0,1,2,1,7.53
IT,7.9,85,86,3,1,5,1,13.97
EEE,8.55,60,82,2,1,5,1,12.69
CIVIL,7.35,64,40,0,2,2,0,6.19
CSE,7.15,75,60,1,1,3,1,8.13
MECH,8.46,73,85,0,2,3,1,9.53
CSE,8.19,64,42,0,2,3,0,6.71
MECH,8.02,100,84,2,0,2,1,10.36
CSE,7.49,74,67,0,0,4,1,5.6
IT,9.19,66,90,2,2,5,1,13.62
CIVIL,6.8,73,69,0,0,3,0,5.72
MECH,6.75,72,59,1,3,2,1,10.21
EEE,8.65,74,74,0,0,5,1,8.16
CSE,8.57,52,69,1,0,2,0,10.16
CSE,8.12,87,57,1,3,3,1,9.87
MECH,7.54,88,100,0,1,3,1,6.45
EEE,8.25,89,55,1,0,6,1,10.27
EEE,9.35,75,40,0,2,3,1,9.78
IT,10.0,79,93,0,1,7,1,10.74
IT,6.31,61,61,1,1,6,0,7.79
IT,7.42,81,65,0,0,8,1,8.67
IT,7.37,75,64,1,2,5,1,9.41
IT,9.26,66,61,1,2,4,1,10.8
IT,5.57,82,58,1,0,2,0,4.7
CIVIL,8.26,82,55,0,2,3,1,8.85
EEE,7.57,72,70,0,2,7,1,10.49
IT,9.27,77,63,0,1,4,1,8.81
EEE,9.15,59,80,1,1,5,1,12.9
EEE,8.13,86,77,1,0,4,0,9.05
ECE,6.38,61,56,1,0,4,1,6.73
CIVIL,7.28,63,71,0,1,5,1,6.41
IT,7.38,72,63,0,2,5,0,7.7
CSE,6.61,85,55,0,1,2,0,4.82
MECH,8.84,85,80,0,1,3,1,7.74
CSE,6.49,71,68,0,0,5,0,4.27
CIVIL,9.57,81,63,0,0,4,1,10.4
MECH,9.57,51,57,0,1,3,0,10.13
CIVIL,7.45,63,54,0,0,5,0,6.96
EEE,8.1,63,99,0,1,2,1,7.1
MECH,7.73,87,75,0,0,2,1,6.18
EEE,8.61,79,53,0,2,5,1,8.71
CSE,8.95,74,74,0,0,2,1,6.73
CSE,8.03,75,85,1,1,5,1,10.41
MECH,8.22,90,72,0,1,1,1,6.86
MECH,7.24,69,90,0,0,3,1,6.15
IT,8.19,56,46,0,0,3,0,5.7
CIVIL,7.95,85,40,0,0,1,1,5.88
IT,6.98,74,73,0,2,3,0,5.85
CIVIL,7.79,83,74,0,0,6,1,7.83
IT,7.46,71,40,1,1,1,0,8.74
EEE,7.25,61,60,0,3,3,0,8.87
MECH,6.77,76,54,0,2,7,0,7.22
CSE,7.86,72,49,2,0,2,1,9.03
CIVIL,7.1,74,54,0,3,7,0,8.38
CIVIL,7.38,91,78,0,0,3,0,5.49
CSE,8.77,58,54,2,1,4,1,12.57
IT,8.37,75,55,1,2,7,1,10.32
CIVIL,6.92,62,45,0,1,3,0,4.7
EEE,8.12,40,89,0,1,5,0,7.86
MECH,7.92,71,76,0,0,6,1,8.18
CSE,9.33,72,40,0,0,3,1,7.58
MECH,9.04,79,55,1,1,2,1,10.83
CIVIL,6.42,69,77,0,0,4,0,5.5
CIVIL,8.58,54,89,0,3,4,1,10.83
CSE,8.94,62,82,2,3,2,1,12.38
EEE,8.3,87,64,2,2,3,1,10.68
ECE,7.5,61,41,0,1,1,0,6.68
CSE,9.97,90,83,1,1,3,1,11.79
ECE,8.39,84,65,0,3,6,1,10.13
IT,9.58,68,71,2,2,1,1,12.06
ECE,9.02,63,67,0,1,3,1,9.24
EEE,8.22,84,49,0,0,9,1,8.35
IT,7.28,69,75,0,0,4,1,6.4
ECE,7.78,53,73,0,1,7,1,7.97
IT,7.6,78,63,0,1,2,1,6.9
ECE,6.71,77,77,1,2,5,1,7.89
EEE,8.39,85,49,1,0,2,1,9.16
ECE,9.21,76,65,0,0,5,1,9.38
ECE,7.53,65,70,0,0,6,1,7.23
ECE,9.75,87,43,0,0,5,1,10.81
CSE,6.4,88,69,2,0,3,1,8.64
CSE,8.75,74,81,2,1,5,1,13.23
CSE,9.3,72,65,3,1,5,1,15.04
EEE,7.62,56,69,2,1,5,1,11.8
IT,7.63,64,78,0,0,4,0,5.43
CIVIL,8.74,81,64,0,0,6,1,8.61
ECE,8.26,65,65,1,1,7,1,9.8
ECE,6.0,54,52,2,2,3,0,9.32
EEE,7.04,100,69,0,0,4,1,6.26
ECE,7.79,54,64,0,2,2,0,8.09
CSE,6.57,99,77,1,0,5,1,7.87
CIVIL,7.37,68,78,0,2,5,1,7.58
MECH,6.59,70,81,0,2,4,0,6.0
ECE,7.47,63,62,1,0,4,0,6.39
CSE,7.5,81,40,0,1,8,1,8.35
MECH,8.12,54,81,0,0,1,1,7.25
CIVIL,7.72,49,76,1,2,3,1,9.55
MECH,8.25,91,60,1,1,3,1,9.44
CSE,8.15,62,78,3,1,7,1,14.29
IT,8.73,80,48,0,1,5,1,8.56
IT,8.59,58,85,0,2,5,1,9.46
MECH,8.49,80,64,1,0,7,1,10.07
EEE,10.0,92,57,1,1,4,1,11.18
MECH,8.11,65,60,0,0,5,0,7.47
ECE,10.0,48,66,1,0,3,1,10.92
ECE,8.17,92,69,0,1,2,0,8.81
IT,7.73,83,70,0,0,8,0,7.33
EEE,7.46,66,63,0,0,5,1,6.63
CSE,9.16,69,73,0,2,5,1,9.79
ECE,9.28,58,70,0,0,2,1,7.67
IT,8.34,89,60,1,1,5,1,10.62
CIVIL,8.82,65,58,1,0,8,1,12.87
IT,6.65,54,79,2,0,3,1,8.52
ECE,6.41,74,77,0,0,1,0,4.7
ECE,8.92,61,70,0,1,4,1,7.28
IT,7.69,59,83,0,1,2,1,6.41
CSE,8.47,66,40,0,0,1,0,8.01
MECH,7.15,73,61,1,0,3,1,7.54
ECE,9.29,55,52,1,3,3,1,12.35
IT,6.41,88,100,1,0,2,1,5.9
IT,6.55,80,80,0,2,7,1,7.67
EEE,9.1,67,68,0,0,8,1,10.93
MECH,5.45,61,81,0,1,5,0,4.01
CIVIL,8.14,70,86,0,0,5,1,9.32
CSE,7.7,82,86,1,2,4,1,8.51
CIVIL,7.14,80,83,3,1,2,1,11.08
MECH,7.62,84,66,0,1,7,1,7.48
MECH,7.04,66,62,1,0,4,1,7.53
MECH,9.19,40,55,1,1,3,1,9.95
CIVIL,9.42,86,77,0,1,6,1,9.27
MECH,7.18,69,67,1,0,4,1,6.97
IT,8.05,79,63,0,0,6,1,8.27
CIVIL,6.61,92,62,0,2,3,1,6.14
MECH,8.77,100,91,1,0,6,1,10.02
IT,8.74,64,84,2,1,6,1,13.02
EEE,7.53,73,97,0,1,7,1,6.85
MECH,7.82,88,77,0,2,3,1,8.02
CIVIL,7.72,61,70,2,3,4,1,12.08
ECE,6.34,65,69,1,4,8,1,10.46
MECH,9.19,64,54,1,0,4,1,10.75
ECE,7.11,71,51,0,2,6,0,9.15
IT,7.12,69,77,2,0,9,1,11.4
EEE,7.66,64,55,0,1,1,0,6.24
CSE,8.7,60,73,1,1,3,1,9.09
EEE,7.27,81,86,0,0,4,1,4.31
MECH,6.04,88,60,1,3,1,1,7.55
ECE,7.0,89,100,0,0,3,1,4.59
ECE,8.18,66,55,0,1,2,1,5.29
CIVIL,9.77,82,84,0,2,6,1,10.74
ECE,6.67,74,76,0,2,1,1,5.99
CIVIL,6.63,65,87,1,0,8,1,9.06
IT,6.44,80,53,2,1,5,1,10.58
CSE,6.33,64,100,2,2,2,1,9.99
MECH,8.89,67,67,0,0,6,1,9.48
CIVIL,9.15,55,80,1,1,5,1,10.0
CSE,7.96,66,91,1,0,4,1,8.73
ECE,7.38,75,60,0,1,3,0,7.12
ECE,9.41,90,82,0,2,5,1,10.33
CSE,7.96,67,58,1,1,4,1,9.32
ECE,8.78,59,90,2,1,3,1,11.96
IT,7.34,89,58,1,1,1,1,8.0
IT,7.84,65,70,0,1,2,0,6.85
CSE,6.69,51,74,1,0,3,0,6.35
CIVIL,8.37,73,81,0,0,6,1,6.78
CIVIL,7.97,68,99,1,1,6,1,9.9
CSE,6.99,99,63,1,1,3,1,8.04
CIVIL,7.01,77,87,0,1,3,1,6.25
CIVIL,9.25,70,99,2,0,6,1,13.57
IT,9.57,60,72,0,0,5,1,10.19
CIVIL,7.61,75,61,3,0,5,1,12.25
EEE,7.86,89,44,0,3,3,1,8.36
MECH,8.16,75,98,0,1,4,1,8.35
ECE,7.93,61,66,0,0,4,0,7.36
EEE,6.29,78,54,0,0,4,0,4.7
CIVIL,8.19,71,49,0,3,5,1,9.95
IT,5.92,77,54,1,0,6,0,6.89
CSE,7.14,67,83,1,2,2,1,8.37
CIVIL,8.25,67,85,1,0,3,1,9.25
IT,8.34,66,79,0,3,3,1,8.77
MECH,7.07,83,71,1,2,7,1,9.96
CIVIL,7.39,67,51,0,1,9,0,8.7
CSE,7.27,66,59,1,0,3,0,8.37
IT,7.71,60,53,0,0,4,0,7.35
IT,7.78,77,78,2,1,6,1,11.84
IT,8.4,75,54,1,1,3,1,7.59
MECH,7.33,66,59,1,0,6,1,8.9
CIVIL,8.14,63,67,0,0,4,0,7.58
MECH,8.26,94,44,0,1,1,1,7.59
ECE,7.98,49,70,0,1,1,0,6.01
ECE,7.57,77,68,2,0,3,1,8.18
CIVIL,7.96,87,87,2,0,6,1,11.9
MECH,8.48,40,57,0,4,2,1,8.49
CSE,8.56,81,50,1,1,3,1,10.84
IT,9.43,69,64,1,2,4,1,11.36
IT,6.91,75,53,1,1,1,1,6.47
CIVIL,7.4,68,70,0,0,5,0,6.96
ECE,6.35,84,42,0,0,1,0,4.71
ECE,8.64,76,60,0,0,5,1,8.61
IT,7.5,73,56,1,2,2,1,9.3
CIVIL,7.99,61,78,0,1,2,1,6.52
MECH,7.26,94,57,0,0,5,0,5.29
ECE,7.51,72,43,2,3,6,0,12.2
MECH,8.9,99,66,1,0,5,1,9.36
ECE,8.42,95,74,2,4,4,1,13.96
ECE,7.7,50,65,0,4,4,1,9.84
EEE,8.49,64,60,0,0,5,1,8.13
ECE,8.51,59,59,2,0,5,1,11.61
CSE,7.45,71,71,0,1,3,0,6.49
CIVIL,6.48,74,56,0,1,5,0,6.96
CIVIL,6.99,74,65,0,1,2,0,4.42
MECH,6.59,84,81,0,3,6,1,6.85
ECE,8.85,89,50,0,1,6,1,10.78
CSE,9.0,83,69,2,0,8,1,12.1
MECH,9.23,65,43,2,0,5,1,12.9
EEE,5.98,62,73,2,1,6,0,10.07
MECH,8.76,72,55,0,0,1,0,5.58
MECH,9.79,77,85,0,2,6,1,9.66
ECE,8.8,69,47,0,0,6,1,9.67
EEE,5.86,55,76,2,0,7,1,8.26
MECH,9.39,80,88,0,0,4,1,8.01
CSE,7.84,67,54,1,1,3,1,8.59
CSE,7.59,66,57,1,0,2,0,7.03
CIVIL,8.21,71,55,0,2,2,1,8.37
EEE,6.86,69,62,0,1,4,1,5.38
EEE,7.8,67,77,2,2,1,0,9.19
CIVIL,9.26,56,61,2,1,2,1,13.14
MECH,8.36,70,53,0,0,4,1,6.63
EEE,7.85,80,40,0,2,4,1,7.52
CSE,7.88,75,94,3,0,2,1,12.42
CSE,6.74,83,95,0,1,2,1,5.64
ECE,7.67,63,78,0,0,2,0,6.99
EEE,6.33,56,57,0,2,4,0,6.97
MECH,8.72,69,81,1,3,8,1,12.4
CIVIL,5.83,64,84,0,1,6,1,6.52
CIVIL,8.57,65,66,0,1,4,1,8.52
MECH,8.68,74,70,0,2,5,1,8.94
IT,8.99,65,88,1,0,6,1,10.92
ECE,7.88,56,45,3,3,5,1,13.41
CIVIL,8.62,65,84,1,0,3,1,10.02
EEE,7.66,76,65,1,4,2,0,10.85
ECE,6.73,80,53,1,1,4,0,8.07
EEE,9.18,79,54,0,2,6,1,8.78
CSE,7.71,77,57,0,1,3,0,7.98
ECE,6.53,69,51,2,1,2,1,9.29
CIVIL,7.38,76,96,0,1,1,1,6.04
ECE,7.42,71,77,0,0,4,0,6.25
ECE,8.22,73,85,1,1,2,1,8.73
ECE,9.91,60,78,0,1,3,1,9.42
IT,8.27,72,70,0,2,7,1,10.14
ECE,7.99,76,71,3,1,4,1,12.67
EEE,10.0,76,64,2,0,2,1,12.28
CSE,8.68,56,65,0,0,5,1,8.12
MECH,8.03,73,48,3,1,8,1,14.25
ECE,7.37,54,86,1,0,4,0,7.65
CIVIL,8.08,74,42,1,0,1,0,7.97
ECE,7.74,63,54,0,2,5,0,8.56
CIVIL,7.88,92,100,0,1,5,1,7.13
EEE,8.98,73,72,1,1,4,1,10.55
CIVIL,7.31,81,72,2,0,4,1,11.42
MECH,8.26,97,79,1,1,2,1,9.16
CSE,8.65,62,46,0,0,7,1,8.04
CIVIL,7.2,77,49,0,1,1,0,5.01
CIVIL,7.06,57,63,1,0,3,0,6.46
CSE,7.66,76,56,0,2,3,0,8.9
MECH,7.38,93,68,1,1,6,1,10.17
ECE,8.84,64,77,0,1,6,1,8.27
CIVIL,6.9,61,90,0,1,4,0,6.55
